COUNTRY,COUNTRY_GRP,AGE_GRP_LIST,SEX,YEAR,VALUE
EST,,0,FEMALE,2001,16.08
EST,,0,FEMALE,2002,15.81
EST,,0,FEMALE,2003,46.33
EST,,0,FEMALE,2004,15.05
EST,,0,FEMALE,2005,14.61
EST,,0,FEMALE,2006,0
EST,,0,FEMALE,2007,0
EST,,0,FEMALE,2008,13
EST,,0,FEMALE,2009,12.9
EST,,0,FEMALE,2010,0
EST,,0,FEMALE,2011,13.48
EST,,0,FEMALE,2012,0
EST,,0,FEMALE,2013,14.83
EST,,0,FEMALE,2014,15.01
EST,,0,FEMALE,2015,14.85
EST,,0,FEMALE,2016,14.82
,EU_AFTER_MAY2004,0,FEMALE,1981,380.25
,EU_AFTER_MAY2004,0,FEMALE,1982,344.46
,EU_AFTER_MAY2004,0,FEMALE,1985,296.12
,EU_AFTER_MAY2004,0,FEMALE,1986,251.75
,EU_AFTER_MAY2004,0,FEMALE,1987,294.02
,EU_AFTER_MAY2004,0,FEMALE,1988,251.07
,EU_AFTER_MAY2004,0,FEMALE,1989,261.13
,EU_AFTER_MAY2004,0,FEMALE,1990,265.15
,EU_AFTER_MAY2004,0,FEMALE,1991,220.36
,EU_AFTER_MAY2004,0,FEMALE,1992,207.36
,EU_AFTER_MAY2004,0,FEMALE,1993,208.59
,EU_AFTER_MAY2004,0,FEMALE,1994,212.09
,EU_AFTER_MAY2004,0,FEMALE,1995,185.37
,EU_AFTER_MAY2004,0,FEMALE,1996,204.23
,EU_AFTER_MAY2004,0,FEMALE,1997,194.14
,EU_AFTER_MAY2004,0,FEMALE,1998,165.85
,EU_AFTER_MAY2004,0,FEMALE,1999,161.56
,EU_AFTER_MAY2004,0,FEMALE,2000,149.28
,EU_AFTER_MAY2004,0,FEMALE,2001,141.47
,EU_AFTER_MAY2004,0,FEMALE,2002,133.05
,EU_AFTER_MAY2004,0,FEMALE,2003,129.55
,EU_AFTER_MAY2004,0,FEMALE,2004,119.05
,EU_AFTER_MAY2004,0,FEMALE,2005,104.16
,EU_AFTER_MAY2004,0,FEMALE,2006,95.34
,EU_AFTER_MAY2004,0,FEMALE,2007,81.16
,EU_AFTER_MAY2004,0,FEMALE,2008,79.93
,EU_AFTER_MAY2004,0,FEMALE,2009,71.23
,EU_AFTER_MAY2004,0,FEMALE,2010,65.89
,EU_AFTER_MAY2004,0,FEMALE,2011,59.12
,EU_AFTER_MAY2004,0,FEMALE,2012,63.14
,EU_AFTER_MAY2004,0,FEMALE,2013,50.74
,EU_AFTER_MAY2004,0,FEMALE,2014,49.49
,EU_AFTER_MAY2004,0,FEMALE,2015,46.85
,EU_AFTER_MAY2004,0,FEMALE,2016,40.83
,EU_AFTER_MAY2004,0,FEMALE,2017,36.55
,EU_AFTER_MAY2004,0,FEMALE,2018,33.42
,EU_AFTER_MAY2004,0,FEMALE,2019,36.51
,EU_AFTER_MAY2004,0,FEMALE,2020,34
,EU_AFTER_MAY2004,0,FEMALE,2021,38.66
,EU_BEFORE_FEB2020,0,FEMALE,1969,483.06
,EU_BEFORE_FEB2020,0,FEMALE,1970,429.3
,EU_BEFORE_FEB2020,0,FEMALE,1971,382.2
,EU_BEFORE_FEB2020,0,FEMALE,1972,342.9
